"S_No","LSOA Code","Postcode","Short Postcode","Town/City","District","County"
6256,NA,"KT12 5EE","KT12","WALTON-ON-THAMES","ELMBRIDGE","SURREY"
6257,NA,"KT12 4ER","KT12","WALTON-ON-THAMES","ELMBRIDGE","SURREY"
6258,NA,"TW20 0DH","TW20","EGHAM","RUNNYMEDE","SURREY"
6259,NA,"GU16 7AX","GU16","CAMBERLEY","SURREY HEATH","SURREY"
6260,NA,"TN18 4EY","TN18","CRANBROOK","TUNBRIDGE WELLS","KENT"
6261,NA,"TN26 2BQ","TN26","ASHFORD","ASHFORD","KENT"
6262,NA,"KT10 0SP","KT10","ESHER","ELMBRIDGE","SURREY"
6263,NA,"GU12 5SX","GU12","ALDERSHOT","GUILDFORD","SURREY"
6264,NA,"CR5 3LU","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
6265,NA,"CR5 3LU","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
6266,NA,"CR5 3LU","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
6267,NA,"CR5 3LU","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
6268,NA,"TN17 2AH","TN17","CRANBROOK","TUNBRIDGE WELLS","KENT"
6269,NA,"CR5 3LU","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
6270,NA,"TN14 5FR","TN14","SEVENOAKS","SEVENOAKS","KENT"
6271,NA,"ME12 3TW","ME12","SHEERNESS","SWALE","KENT"
6272,NA,"GU16 7AX","GU16","CAMBERLEY","SURREY HEATH","SURREY"
6273,NA,"KT24 6BU","KT24","LEATHERHEAD","GUILDFORD","SURREY"
6274,NA,"KT20 6UY","KT20","TADWORTH","REIGATE AND BANSTEAD","SURREY"
6275,NA,"KT16 0SP","KT16","CHERTSEY","RUNNYMEDE","SURREY"
6276,NA,"KT16 0PH","KT16","CHERTSEY","RUNNYMEDE","SURREY"
6277,NA,"KT14 7QB","KT14","WEST BYFLEET","WOKING","SURREY"
6278,NA,"GU21 2UD","GU21","WOKING","WOKING","SURREY"
6279,NA,"DA13 9QD","DA13","GRAVESEND","DARTFORD","KENT"
6280,NA,"KT20 6HU","KT20","TADWORTH","REIGATE AND BANSTEAD","SURREY"
6281,NA,"KT17 1FL","KT17","EPSOM","EPSOM AND EWELL","SURREY"
6282,NA,"CR5 3LU","CR5 3","COULSDON","REIGATE AND BANSTEAD","SURREY"
6283,NA,"KT17 1FL","KT17","EPSOM","EPSOM AND EWELL","SURREY"
6284,NA,"GU21 2UE","GU21","WOKING","WOKING","SURREY"
6285,NA,"KT22 9GS","KT22","LEATHERHEAD","MOLE VALLEY","SURREY"
6286,NA,"CT12 4JS","CT12","RAMSGATE","THANET","KENT"
6287,NA,"DA13 9LJ","DA13","GRAVESEND","DARTFORD","KENT"
6288,NA,"ME17 2PZ","ME17","MAIDSTONE","MAIDSTONE","KENT"
