"S_No","Short Postcode","Population","LSOA Code","Postcode","Town/City","District","County"
168,"CT3 1",5858,"E01024207","CT3 1LJ","CANTERBURY","DOVER","KENT"
169,"CT3 1",5858,"E01024209","CT3 1LP","CANTERBURY","DOVER","KENT"
170,"CT3 1",5858,"E01024209","CT3 1LP","CANTERBURY","DOVER","KENT"
171,"CT3 1",5858,"E01024209","CT3 1LP","CANTERBURY","DOVER","KENT"
172,"CT3 1",5858,"E01024209","CT3 1LP","CANTERBURY","DOVER","KENT"
173,"CT3 1",5858,"E01024209","CT3 1NU","CANTERBURY","DOVER","KENT"
174,"CT3 1",5858,"E01024207","CT3 1PE","CANTERBURY","DOVER","KENT"
175,"CT3 1",5858,"E01024207","CT3 1PF","CANTERBURY","DOVER","KENT"
176,"CT3 1",5858,"E01024207","CT3 1PZ","CANTERBURY","DOVER","KENT"
177,"CT3 1",5858,"E01024207","CT3 1PZ","CANTERBURY","DOVER","KENT"
178,"CT3 1",5858,"E01024085","CT3 1QN","CANTERBURY","CANTERBURY","KENT"
179,"CT3 1",5858,"E01024085","CT3 1QQ","CANTERBURY","CANTERBURY","KENT"
180,"CT3 1",5858,"E01024085","CT3 1QR","CANTERBURY","CANTERBURY","KENT"
181,"CT3 1",5858,"E01024085","CT3 1RP","CANTERBURY","CANTERBURY","KENT"
182,"CT3 1",5858,"E01024085","CT3 1RP","CANTERBURY","CANTERBURY","KENT"
183,"CT3 1",5858,"E01024085","CT3 1RQ","CANTERBURY","CANTERBURY","KENT"
184,"CT3 1",5858,"E01024085","CT3 1RQ","CANTERBURY","CANTERBURY","KENT"
185,"CT3 1",5858,"E01024085","CT3 1RQ","CANTERBURY","CANTERBURY","KENT"
186,"CT3 1",5858,"E01024085","CT3 1RQ","CANTERBURY","CANTERBURY","KENT"
187,"CT3 1",5858,"E01024085","CT3 1SG","CANTERBURY","CANTERBURY","KENT"
188,"CT3 1",5858,"E01024088","CT3 1XB","CANTERBURY","CANTERBURY","KENT"
189,"CT3 1",5858,"E01024088","CT3 1XB","CANTERBURY","CANTERBURY","KENT"
190,"CT3 1",5858,"E01024088","CT3 1XD","CANTERBURY","CANTERBURY","KENT"
191,"CT3 1",5858,"E01024088","CT3 1XD","CANTERBURY","CANTERBURY","KENT"
192,"CT3 1",5858,"E01024088","CT3 1XD","CANTERBURY","CANTERBURY","KENT"
193,"CT3 2",3365,"E01024208","CT3 2AF","CANTERBURY","DOVER","KENT"
194,"CT3 2",3365,"E01024208","CT3 2AF","CANTERBURY","DOVER","KENT"
195,"CT3 2",3365,"E01024208","CT3 2AF","CANTERBURY","DOVER","KENT"
196,"CT3 2",3365,"E01024208","CT3 2AQ","CANTERBURY","DOVER","KENT"
197,"CT3 2",3365,"E01024208","CT3 2AQ","CANTERBURY","DOVER","KENT"
198,"CT3 2",3365,"E01024245","CT3 2BY","CANTERBURY","DOVER","KENT"
199,"CT3 2",3365,"E01024208","CT3 2DA","CANTERBURY","DOVER","KENT"
200,"CT3 2",3365,"E01024208","CT3 2DA","CANTERBURY","DOVER","KENT"
201,"CT3 2",3365,"E01024208","CT3 2DN","CANTERBURY","DOVER","KENT"
202,"CT3 2",3365,"E01024208","CT3 2EW","CANTERBURY","DOVER","KENT"
203,"CT3 2",3365,"E01024207","CT3 2HS","CANTERBURY","DOVER","KENT"
204,"CT3 2",3365,"E01024207","CT3 2HT","CANTERBURY","DOVER","KENT"
205,"CT3 2",3365,"E01024206","CT3 2JX","CANTERBURY","DOVER","KENT"
206,"CT3 3",4438,"E01024192","CT3 3DU","CANTERBURY","DOVER","KENT"
207,"CT3 3",4438,"E01024192","CT3 3DU","CANTERBURY","DOVER","KENT"
208,"CT3 3",4438,"E01024192","CT3 3DU","CANTERBURY","DOVER","KENT"
209,"CT3 3",4438,"E01024192","CT3 3DU","CANTERBURY","DOVER","KENT"
210,"CT3 3",4438,"E01024190","CT3 3HN","CANTERBURY","DOVER","KENT"
211,"CT3 3",4438,"E01024190","CT3 3JA","CANTERBURY","DOVER","KENT"
212,"CT3 3",4438,"E01024209","CT3 3JD","CANTERBURY","DOVER","KENT"
213,"CT3 3",4438,"E01024042","CT3 3JW","CANTERBURY","CANTERBURY","KENT"
214,"CT3 3",4438,"E01024042","CT3 3JW","CANTERBURY","CANTERBURY","KENT"
215,"CT3 3",4438,"E01024042","CT3 3LN","CANTERBURY","CANTERBURY","KENT"
216,"CT3 4",3623,"E01024087","CT3 4DA","CANTERBURY","CANTERBURY","KENT"
217,"CT3 4",3623,"E01024087","CT3 4DA","CANTERBURY","CANTERBURY","KENT"
218,"CT3 4",3623,"E01024087","CT3 4EF","CANTERBURY","CANTERBURY","KENT"
219,"CT3 4",3623,"E01024087","CT3 4EF","CANTERBURY","CANTERBURY","KENT"
220,"CT3 4",3623,"E01024086","CT3 4GE","CANTERBURY","CANTERBURY","KENT"
221,"CT3 4",3623,"E01024087","CT3 4GP","CANTERBURY","CANTERBURY","KENT"
222,"CT3 4",3623,"E01024087","CT3 4GP","CANTERBURY","CANTERBURY","KENT"
223,"CT3 4",3623,"E01024087","CT3 4GP","CANTERBURY","CANTERBURY","KENT"
224,"CT3 4",3623,"E01024087","CT3 4GP","CANTERBURY","CANTERBURY","KENT"
225,"CT3 4",3623,"E01024087","CT3 4HD","CANTERBURY","CANTERBURY","KENT"
226,"CT3 4",3623,"E01024087","CT3 4HD","CANTERBURY","CANTERBURY","KENT"
227,"CT3 4",3623,"E01024086","CT3 4JA","CANTERBURY","CANTERBURY","KENT"
228,"CT3 4",3623,"E01024086","CT3 4JA","CANTERBURY","CANTERBURY","KENT"
229,"CT3 4",3623,"E01024086","CT3 4JA","CANTERBURY","CANTERBURY","KENT"
230,"CT3 4",3623,"E01024086","CT3 4LL","CANTERBURY","CANTERBURY","KENT"
231,"CT3 4",3623,"E01024087","CT3 4LX","CANTERBURY","CANTERBURY","KENT"
232,"CT3 4",3623,"E01024086","CT3 4NF","CANTERBURY","CANTERBURY","KENT"
233,"CT4 5",4171,"E01024089","CT4 5AY","CANTERBURY","CANTERBURY","KENT"
234,"CT4 5",4171,"E01024089","CT4 5AY","CANTERBURY","CANTERBURY","KENT"
235,"CT4 5",4171,"E01024089","CT4 5AY","CANTERBURY","CANTERBURY","KENT"
236,"CT4 5",4171,"E01024088","CT4 5BU","CANTERBURY","CANTERBURY","KENT"
237,"CT4 5",4171,"E01024088","CT4 5BX","CANTERBURY","CANTERBURY","KENT"
238,"CT4 5",4171,"E01024088","CT4 5BZ","CANTERBURY","CANTERBURY","KENT"
239,"CT4 5",4171,"E01024088","CT4 5ED","CANTERBURY","CANTERBURY","KENT"
240,"CT4 5",4171,"E01024088","CT4 5EE","CANTERBURY","CANTERBURY","KENT"
241,"CT4 5",4171,"E01024088","CT4 5EH","CANTERBURY","CANTERBURY","KENT"
242,"CT4 5",4171,"E01024088","CT4 5EH","CANTERBURY","CANTERBURY","KENT"
243,"CT4 5",4171,"E01024088","CT4 5EN","CANTERBURY","CANTERBURY","KENT"
244,"CT4 5",4171,"E01024089","CT4 5HL","CANTERBURY","CANTERBURY","KENT"
245,"CT4 5",4171,"E01024089","CT4 5HZ","CANTERBURY","CANTERBURY","KENT"
246,"CT4 5",4171,"E01024088","CT4 5LH","CANTERBURY","CANTERBURY","KENT"
247,"CT4 5",4171,"E01024054","CT4 5PR","CANTERBURY","CANTERBURY","KENT"
248,"CT4 5",4171,"E01024490","CT4 5PS","CANTERBURY","FOLKESTONE AND HYTHE","KENT"
249,"CT4 5",4171,"E01024054","CT4 5PX","CANTERBURY","CANTERBURY","KENT"
250,"CT4 5",4171,"E01024054","CT4 5QU","CANTERBURY","CANTERBURY","KENT"
251,"CT4 5",4171,"E01024054","CT4 5QZ","CANTERBURY","CANTERBURY","KENT"
252,"CT4 5",4171,"E01024054","CT4 5RD","CANTERBURY","CANTERBURY","KENT"
253,"CT4 5",4171,"E01024054","CT4 5RD","CANTERBURY","CANTERBURY","KENT"
254,"CT4 5",4171,"E01024054","CT4 5RD","CANTERBURY","CANTERBURY","KENT"
255,"CT4 5",4171,"E01024054","CT4 5RD","CANTERBURY","CANTERBURY","KENT"
256,"CT4 5",4171,"E01024054","CT4 5RY","CANTERBURY","CANTERBURY","KENT"
257,"CT4 5",4171,"E01024089","CT4 5TN","CANTERBURY","CANTERBURY","KENT"
258,"CT4 5",4171,"E01024089","CT4 5TN","CANTERBURY","CANTERBURY","KENT"
259,"CT4 5",4171,"E01024089","CT4 5TN","CANTERBURY","CANTERBURY","KENT"
260,"CT4 5",4171,"E01024089","CT4 5TN","CANTERBURY","CANTERBURY","KENT"
261,"CT4 5",4171,"E01024089","CT4 5TN","CANTERBURY","CANTERBURY","KENT"
262,"CT4 5",4171,"E01024089","CT4 5TN","CANTERBURY","CANTERBURY","KENT"
263,"CT4 5",4171,"E01024089","CT4 5TN","CANTERBURY","CANTERBURY","KENT"
264,"CT4 6",5127,"E01024545","CT4 6DE","CANTERBURY","FOLKESTONE AND HYTHE","KENT"
265,"CT4 6",5127,"E01024545","CT4 6DE","CANTERBURY","FOLKESTONE AND HYTHE","KENT"
266,"CT4 6",5127,"E01024042","CT4 6DQ","CANTERBURY","CANTERBURY","KENT"
267,"CT4 6",5127,"E01024042","CT4 6DQ","CANTERBURY","CANTERBURY","KENT"
268,"CT4 6",5127,"E01024042","CT4 6DQ","CANTERBURY","CANTERBURY","KENT"
269,"CT4 6",5127,"E01024054","CT4 6EA","CANTERBURY","CANTERBURY","KENT"
270,"CT4 6",5127,"E01024054","CT4 6EA","CANTERBURY","CANTERBURY","KENT"
271,"CT4 6",5127,"E01024054","CT4 6ED","CANTERBURY","CANTERBURY","KENT"
272,"CT4 6",5127,"E01024054","CT4 6ED","CANTERBURY","CANTERBURY","KENT"
273,"CT4 6",5127,"E01024054","CT4 6ED","CANTERBURY","CANTERBURY","KENT"
274,"CT4 6",5127,"E01024054","CT4 6ED","CANTERBURY","CANTERBURY","KENT"
275,"CT4 6",5127,"E01024054","CT4 6EG","CANTERBURY","CANTERBURY","KENT"
276,"CT4 6",5127,"E01024054","CT4 6EG","CANTERBURY","CANTERBURY","KENT"
277,"CT4 6",5127,"E01024043","CT4 6HP","CANTERBURY","CANTERBURY","KENT"
278,"CT4 6",5127,"E01024043","CT4 6HY","CANTERBURY","CANTERBURY","KENT"
279,"CT4 6",5127,"E01024042","CT4 6LA","CANTERBURY","CANTERBURY","KENT"
280,"CT4 6",5127,"E01024490","CT4 6LP","CANTERBURY","FOLKESTONE AND HYTHE","KENT"
281,"CT4 6",5127,"E01024490","CT4 6NE","CANTERBURY","FOLKESTONE AND HYTHE","KENT"
282,"CT4 6",5127,"E01024490","CT4 6NL","CANTERBURY","FOLKESTONE AND HYTHE","KENT"
283,"CT4 6",5127,"E01024490","CT4 6NL","CANTERBURY","FOLKESTONE AND HYTHE","KENT"
284,"CT4 6",5127,"E01024490","CT4 6NL","CANTERBURY","FOLKESTONE AND HYTHE","KENT"
285,"CT4 6",5127,"E01024043","CT4 6NY","CANTERBURY","CANTERBURY","KENT"
286,"CT4 6",5127,"E01024043","CT4 6PH","CANTERBURY","CANTERBURY","KENT"
287,"CT4 6",5127,"E01024043","CT4 6PY","CANTERBURY","CANTERBURY","KENT"
288,"CT4 6",5127,"E01024043","CT4 6PY","CANTERBURY","CANTERBURY","KENT"
289,"CT4 6",5127,"E01024043","CT4 6QD","CANTERBURY","CANTERBURY","KENT"
290,"CT4 6",5127,"E01024490","CT4 6SY","CANTERBURY","FOLKESTONE AND HYTHE","KENT"
291,"CT4 6",5127,"E01024490","CT4 6TL","CANTERBURY","FOLKESTONE AND HYTHE","KENT"
